Id,Label
0,6
1,6
2,0
3,6
4,3
5,6
6,6
7,5
8,2
9,1
10,5
11,0
12,6
13,5
14,0
15,2
16,6
17,5
18,2
19,0
20,0
21,5
22,6
23,3
24,6
25,6
26,0
27,0
28,6
29,6
30,6
31,6
32,0
33,3
34,3
35,6
36,3
37,0
38,6
39,0
40,0
41,7
42,0
43,6
44,6
45,7
46,7
47,3
48,0
49,7
50,6
51,0
52,3
53,1
54,6
55,0
56,6
57,0
58,6
59,3
60,3
61,7
62,6
63,6
64,7
65,2
66,7
67,0
68,3
69,0
70,3
71,6
72,5
73,7
74,0
75,7
76,6
77,0
78,3
79,7
80,6
81,3
82,0
83,6
84,6
85,3
86,0
87,2
88,3
89,0
90,6
91,0
92,6
93,6
94,7
95,0
96,0
97,0
98,6
99,6
100,7
101,7
102,3
103,6
104,2
105,1
106,5
107,0
108,1
109,3
110,7
111,3
112,6
113,7
114,6
115,0
116,0
117,3
118,6
119,5
120,7
121,5
122,7
123,1
124,0
125,0
126,5
127,0
128,7
129,6
130,0
131,6
132,0
133,3
134,6
135,7
136,0
137,6
138,6
139,6
140,5
141,0
142,0
143,6
144,6
145,6
146,3
147,5
148,6
149,5
150,2
151,6
152,6
153,3
154,6
155,7
156,2
157,7
158,0
159,6
160,6
161,0
162,1
163,3
164,6
165,3
166,0
167,6
168,3
169,7
170,3
171,0
172,0
173,7
174,0
175,3
176,2
177,0
178,0
179,6
180,5
181,6
182,2
183,2
184,6
185,6
186,0
187,5
188,0
189,3
190,1
191,5
192,4
193,3
194,0
195,6
196,5
197,6
198,6
199,0
200,0
201,0
202,6
203,0
204,2
205,3
206,6
207,7
208,6
209,5
210,2
211,5
212,6
213,3
214,0
215,6
216,3
217,6
218,2
219,7
220,3
221,0
222,3
223,3
224,5
225,0
226,0
227,0
228,3
229,0
230,0
231,3
232,5
233,0
234,1
235,6
236,0
237,7
238,7
239,2
240,7
241,6
242,5
243,6
244,6
245,6
246,6
247,3
248,2
249,5
250,7
251,5
252,0
253,3
254,7
255,3
256,3
257,3
258,3
259,5
260,0
261,2
262,0
263,3
264,6
265,1
266,0
267,6
268,7
269,6
270,6
271,6
272,5
273,6
274,5
275,6
276,0
277,0
278,6
279,0
280,3
281,0
282,2
283,0
284,3
285,0
286,0
287,7
288,3
289,1
290,6
291,6
292,1
293,0
294,7
295,3
296,5
297,7
298,0
299,6
300,7
301,3
302,0
303,6
304,6
305,7
306,6
307,6
308,5
309,3
310,7
311,3
312,3
313,5
314,7
315,0
316,5
317,3
318,3
319,6
320,0
321,6
322,3
323,0
324,2
325,2
326,2
327,7
328,0
329,3
330,0
331,6
332,6
333,6
334,6
335,6
336,0
337,3
338,6
339,0
340,3
341,0
342,5
343,5
344,6
345,5
346,0
347,0
348,1
349,0
350,5
351,1
352,0
353,1
354,0
355,0
356,6
357,7
358,6
359,2
360,0
361,3
362,6
363,5
364,5
365,6
366,5
367,6
368,3
369,5
370,7
371,6
372,3
373,0
374,6
375,5
376,2
377,0
378,3
379,6
380,0
381,7
382,3
383,6
384,2
385,5
386,6
387,5
388,1
389,0
390,5
391,7
392,1
393,0
394,0
395,5
396,6
397,6
398,0
399,5
400,1
401,0
402,6
403,7
404,3
405,0
406,7
407,6
408,0
409,7
410,3
411,0
412,5
413,6
414,3
415,6
416,2
417,0
418,0
419,7
420,6
421,6
422,6
423,6
424,6
425,0
426,3
427,5
428,7
429,3
430,6
431,7
432,1
433,6
434,7
435,6
436,0
437,0
438,6
439,0
440,3
441,7
442,6
443,0
444,0
445,6
446,5
447,6
448,7
449,6
450,7
451,6
452,0
453,0
454,0
455,0
456,2
457,3
458,6
459,6
460,1
461,0
462,0
463,7
464,3
465,0
466,5
467,5
468,0
469,5
470,0
471,6
472,6
473,6
474,6
475,7
476,3
477,3
478,2
479,3
480,2
481,2
482,1
483,0
484,3
485,0
486,5
487,6
488,0
489,7
490,6
491,7
492,3
493,6
494,3
495,6
496,1
497,7
498,0
499,0
500,0
501,1
502,6
503,5
504,3
505,0
506,0
507,3
508,0
509,3
510,6
511,6
512,0
513,0
514,5
515,7
516,3
517,0
518,5
519,0
520,5
521,7
522,2
523,0
524,6
525,7
526,3
527,6
528,0
529,6
530,0
531,7
532,6
533,7
534,2
535,3
536,5
537,3
538,0
539,7
540,0
541,6
542,6
543,6
544,2
545,6
546,0
547,1
548,6
549,6
550,3
551,6
552,3
553,6
554,6
555,0
556,3
557,7
558,0
559,3
560,1
561,0
562,0
563,6
564,5
565,0
566,0
567,7
568,0
569,0
570,3
571,6
572,6
573,6
574,6
575,7
576,6
577,6
578,5
579,0
580,3
581,3
582,1
583,0
584,5
585,6
586,6
587,0
588,0
589,6
590,0
591,0
592,1
593,0
594,6
595,5
596,3
597,3
598,0
599,6
600,0
601,6
602,0
603,5
604,0
605,5
606,3
607,6
608,7
609,3
610,0
611,6
612,6
613,0
614,3
615,5
616,3
617,7
618,0
619,7
620,6
621,0
622,6
623,7
624,3
625,0
626,6
627,7
628,0
629,0
630,6
631,5
632,5
633,6
634,6
635,3
636,6
637,5
638,6
639,6
640,0
641,0
642,6
643,0
644,6
645,1
646,6
647,0
648,1
649,6
650,3
651,3
652,6
653,6
654,0
655,3
656,3
657,6
658,6
659,6
660,0
661,5
662,0
663,0
664,2
665,6
666,0
667,6
668,0
669,5
670,3
671,7
672,3
673,0
674,6
675,6
676,0
677,7
678,6
679,3
680,3
681,6
