Id,Label
0,0
1,6
2,6
3,6
4,0
5,0
6,6
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,6
16,0
17,0
18,6
19,6
20,0
21,1
22,0
23,3
24,6
25,6
26,6
27,0
28,0
29,7
30,3
31,3
32,0
33,7
34,3
35,7
36,0
37,0
38,3
39,3
40,3
41,7
42,3
43,0
44,0
45,7
46,3
47,7
48,6
49,7
50,0
51,6
52,3
53,1
54,6
55,0
56,6
57,0
58,3
59,3
60,3
61,1
62,0
63,3
64,1
65,7
66,7
67,0
68,7
69,0
70,3
71,6
72,0
73,3
74,6
75,7
76,0
77,0
78,5
79,7
80,3
81,6
82,6
83,0
84,6
85,3
86,6
87,3
88,0
89,0
90,1
91,0
92,6
93,0
94,7
95,3
96,5
97,3
98,3
99,3
100,7
101,7
102,3
103,3
104,6
105,1
106,6
107,6
108,1
109,6
110,7
111,6
112,3
113,6
114,0
115,0
116,3
117,7
118,2
119,6
120,7
121,0
122,3
123,7
124,6
125,0
126,0
127,6
128,1
129,6
130,0
131,0
132,0
133,6
134,5
135,7
136,0
137,3
138,3
139,3
140,6
141,3
142,0
143,6
144,6
145,3
146,3
147,6
148,3
149,3
150,3
151,6
152,6
153,3
154,0
155,1
156,1
157,7
158,6
159,6
160,6
161,6
162,1
163,3
164,6
165,6
166,0
167,0
168,3
169,1
170,6
171,0
172,0
173,7
174,6
175,6
176,3
177,6
178,0
179,6
180,1
181,0
182,0
183,6
184,3
185,6
186,6
187,0
188,6
189,7
190,7
191,6
192,1
193,7
194,3
195,3
196,3
197,0
198,3
199,6
200,3
201,0
202,6
203,6
204,6
205,0
206,0
207,7
208,0
209,3
210,3
211,3
212,6
213,7
214,0
215,0
216,6
217,0
218,3
219,7
220,3
221,6
222,0
223,3
224,6
225,0
226,6
227,6
228,6
229,3
230,0
231,6
232,0
233,6
234,1
235,6
236,6
237,3
238,7
239,6
240,7
241,3
242,7
243,3
244,6
245,0
246,0
247,3
248,6
249,7
250,7
251,3
252,6
253,3
254,7
255,3
256,3
257,0
258,6
259,0
260,6
261,0
262,3
263,1
264,6
265,1
266,0
267,3
268,7
269,6
270,6
271,3
272,6
273,0
274,7
275,6
276,0
277,0
278,0
279,6
280,7
281,6
282,3
283,0
284,1
285,0
286,0
287,7
288,3
289,1
290,6
291,6
292,1
293,6
294,7
295,3
296,0
297,7
298,6
299,7
300,7
301,3
302,0
303,6
304,6
305,7
306,0
307,0
308,3
309,6
310,3
311,6
312,3
313,0
314,7
315,6
316,0
317,0
318,3
319,7
320,6
321,7
322,3
323,0
324,0
325,7
326,0
327,7
328,6
329,6
330,5
331,6
332,6
333,3
334,3
335,6
336,3
337,0
338,3
339,0
340,6
341,0
342,0
343,0
344,6
345,3
346,5
347,6
348,7
349,0
350,0
351,1
352,7
353,1
354,7
355,0
356,3
357,0
358,6
359,6
360,3
361,6
362,0
363,3
364,0
365,3
366,3
367,0
368,1
369,3
370,7
371,3
372,6
373,0
374,0
375,0
376,0
377,0
378,3
379,0
380,0
381,7
382,0
383,6
384,3
385,3
386,6
387,0
388,1
389,3
390,0
391,3
392,1
393,5
394,7
395,0
396,0
397,3
398,3
399,7
400,1
401,5
402,7
403,7
404,3
405,6
406,0
407,0
408,0
409,7
410,0
411,0
412,6
413,6
414,3
415,6
416,5
417,0
418,3
419,7
420,6
421,0
422,6
423,6
424,3
425,6
426,3
427,0
428,7
429,0
430,3
431,7
432,1
433,6
434,7
435,6
436,6
437,6
438,0
439,0
440,3
441,7
442,0
443,7
444,6
445,0
446,0
447,6
448,3
449,6
450,7
451,0
452,6
453,6
454,6
455,0
456,6
457,3
458,6
459,3
460,1
461,0
462,0
463,7
464,3
465,5
466,6
467,6
